,Estrato_Socioeconómico,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
0,Alto,1,1,29329
1,Alto,1,2,43558
2,Alto,1,3,91262
3,Alto,1,4,37250
4,Alto,1,5,52831
5,Alto,1,6,34901
6,Alto,1,7,14196
7,Alto,1,8,6895
8,Alto,1,10,5703
9,Alto,2,1,546
10,Alto,2,2,21523
11,Alto,2,3,41881
12,Alto,2,4,93799
13,Alto,2,5,145889
14,Alto,2,6,85323
15,Alto,2,7,19686
16,Alto,2,8,15884
17,Alto,2,9,789
18,Alto,3,1,3745
19,Alto,3,2,1524
20,Alto,3,3,40711
21,Alto,3,4,67139
22,Alto,3,5,271167
23,Alto,3,6,146149
24,Alto,3,7,79426
25,Alto,3,8,12041
26,Alto,3,9,1867
27,Alto,3,10,3340
28,Alto,4,1,8184
29,Alto,4,2,1698
30,Alto,4,3,15960
31,Alto,4,4,93577
32,Alto,4,5,240758
33,Alto,4,6,187374
34,Alto,4,7,157401
35,Alto,4,8,59806
36,Alto,4,9,2210
37,Alto,4,10,5893
38,Alto,5,1,16411
39,Alto,5,2,7940
40,Alto,5,3,21230
41,Alto,5,4,71898
42,Alto,5,5,326894
43,Alto,5,6,160163
44,Alto,5,7,260611
45,Alto,5,8,148862
46,Alto,5,9,10748
47,Alto,5,10,1906
48,Alto,6,1,2980
49,Alto,6,2,12182
50,Alto,6,3,25195
51,Alto,6,4,58249
52,Alto,6,5,70324
53,Alto,6,6,221030
54,Alto,6,7,236206
55,Alto,6,8,142395
56,Alto,6,9,4056
57,Alto,6,10,8579
58,Alto,7,2,2060
59,Alto,7,3,4725
60,Alto,7,4,22073
61,Alto,7,5,148375
62,Alto,7,6,146009
63,Alto,7,7,239204
64,Alto,7,8,188983
65,Alto,7,9,24881
66,Alto,7,10,5360
67,Alto,8,1,16415
68,Alto,8,2,2087
69,Alto,8,3,6743
70,Alto,8,4,42512
71,Alto,8,5,158269
72,Alto,8,6,141491
73,Alto,8,7,201719
74,Alto,8,8,242907
75,Alto,8,9,6755
76,Alto,8,10,33505
77,Alto,9,1,773
78,Alto,9,2,1204
79,Alto,9,3,516
80,Alto,9,4,8916
81,Alto,9,5,33143
82,Alto,9,6,40542
83,Alto,9,7,76240
84,Alto,9,8,102551
85,Alto,9,9,18742
86,Alto,10,1,1350
87,Alto,10,2,3517
88,Alto,10,3,3699
89,Alto,10,4,19585
90,Alto,10,5,32136
91,Alto,10,6,42421
92,Alto,10,7,31666
93,Alto,10,8,47186
94,Alto,10,9,10103
95,Alto,10,10,23902
96,Bajo,1,1,1436486
97,Bajo,1,2,951909
98,Bajo,1,3,708073
99,Bajo,1,4,350516
100,Bajo,1,5,427122
101,Bajo,1,6,61241
102,Bajo,1,7,23370
103,Bajo,1,8,23814
104,Bajo,1,9,5079
105,Bajo,1,10,23415
106,Bajo,2,1,140235
107,Bajo,2,2,259990
108,Bajo,2,3,326345
109,Bajo,2,4,445743
110,Bajo,2,5,466581
111,Bajo,2,6,129602
112,Bajo,2,7,34087
113,Bajo,2,8,20982
114,Bajo,2,9,8840
115,Bajo,2,10,6663
116,Bajo,3,1,60584
117,Bajo,3,2,95125
118,Bajo,3,3,199877
119,Bajo,3,4,175169
120,Bajo,3,5,547720
121,Bajo,3,6,133912
122,Bajo,3,7,65892
123,Bajo,3,8,29803
124,Bajo,3,9,1030
125,Bajo,3,10,8278
126,Bajo,4,1,32593
127,Bajo,4,2,34912
128,Bajo,4,3,46953
129,Bajo,4,4,113912
130,Bajo,4,5,282645
131,Bajo,4,6,146810
132,Bajo,4,7,83854
133,Bajo,4,8,59930
134,Bajo,4,9,2016
135,Bajo,4,10,2913
136,Bajo,5,1,69196
137,Bajo,5,2,41972
138,Bajo,5,3,94354
139,Bajo,5,4,74256
140,Bajo,5,5,319921
141,Bajo,5,6,97987
142,Bajo,5,7,200518
143,Bajo,5,8,74371
144,Bajo,5,9,7024
145,Bajo,5,10,24517
146,Bajo,6,1,13761
147,Bajo,6,2,21691
148,Bajo,6,3,34006
149,Bajo,6,4,56820
150,Bajo,6,5,119581
151,Bajo,6,6,94994
152,Bajo,6,7,88028
153,Bajo,6,8,91115
154,Bajo,6,9,9452
155,Bajo,6,10,18689
156,Bajo,7,1,22239
157,Bajo,7,2,19690
158,Bajo,7,3,10738
