,Lengua_Indígena,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
0,No,1,1,2156075
1,No,1,2,1492771
2,No,1,3,1968335
3,No,1,4,1134988
4,No,1,5,1579922
5,No,1,6,396542
6,No,1,7,184915
7,No,1,8,127239
8,No,1,9,28882
9,No,1,10,55767
10,No,2,1,292312
11,No,2,2,644643
12,No,2,3,1032320
13,No,2,4,1801286
14,No,2,5,2137274
15,No,2,6,694190
16,No,2,7,315334
17,No,2,8,107630
18,No,2,9,22811
19,No,2,10,11273
20,No,3,1,194707
21,No,3,2,293864
22,No,3,3,767634
23,No,3,4,1183915
24,No,3,5,3613387
25,No,3,6,1209407
26,No,3,7,695816
27,No,3,8,220809
28,No,3,9,28154
29,No,3,10,13618
30,No,4,1,169268
31,No,4,2,160930
32,No,4,3,239415
33,No,4,4,931509
34,No,4,5,1973337
35,No,4,6,1722260
36,No,4,7,1124324
37,No,4,8,429899
38,No,4,9,17295
39,No,4,10,17401
40,No,5,1,292715
41,No,5,2,171182
42,No,5,3,446229
43,No,5,4,548228
44,No,5,5,2804435
45,No,5,6,1212170
46,No,5,7,1949768
47,No,5,8,782406
48,No,5,9,55112
49,No,5,10,45380
50,No,6,1,106701
51,No,6,2,89085
52,No,6,3,281291
53,No,6,4,590083
54,No,6,5,677820
55,No,6,6,1273776
56,No,6,7,1021876
57,No,6,8,928077
58,No,6,9,51972
59,No,6,10,48818
60,No,7,1,63029
61,No,7,2,63997
62,No,7,3,122110
63,No,7,4,402888
64,No,7,5,1107584
65,No,7,6,667699
66,No,7,7,1261694
67,No,7,8,708475
68,No,7,9,92985
69,No,7,10,32348
70,No,8,1,123694
71,No,8,2,109778
72,No,8,3,169113
73,No,8,4,331334
74,No,8,5,1170914
75,No,8,6,901923
76,No,8,7,979406
77,No,8,8,1037225
78,No,8,9,100162
79,No,8,10,74294
80,No,9,1,34479
81,No,9,2,48419
82,No,9,3,34089
83,No,9,4,114688
84,No,9,5,290758
85,No,9,6,278656
86,No,9,7,638796
87,No,9,8,448914
88,No,9,9,97591
89,No,9,10,7519
90,No,10,1,87433
91,No,10,2,35211
92,No,10,3,62494
93,No,10,4,88042
94,No,10,5,295976
95,No,10,6,171094
96,No,10,7,199762
97,No,10,8,265195
98,No,10,9,96205
99,No,10,10,125248
100,Sí,1,1,707384
101,Sí,1,2,530929
102,Sí,1,3,307051
103,Sí,1,4,209364
104,Sí,1,5,148182
105,Sí,1,6,18358
106,Sí,1,7,15994
107,Sí,1,8,4751
108,Sí,1,9,2654
109,Sí,1,10,14215
110,Sí,2,1,77490
111,Sí,2,2,120709
112,Sí,2,3,144070
113,Sí,2,4,175942
114,Sí,2,5,154567
115,Sí,2,6,65342
116,Sí,2,7,9873
117,Sí,2,8,6704
118,Sí,2,9,10956
119,Sí,3,1,26385
120,Sí,3,2,25581
121,Sí,3,3,92879
122,Sí,3,4,54908
123,Sí,3,5,202223
124,Sí,3,6,35912
125,Sí,3,7,21499
126,Sí,3,8,14595
127,Sí,3,9,2699
128,Sí,3,10,5029
129,Sí,4,1,15586
130,Sí,4,2,17483
131,Sí,4,3,16572
132,Sí,4,4,37523
133,Sí,4,5,62341
134,Sí,4,6,72403
135,Sí,4,7,42678
136,Sí,4,8,16550
137,Sí,4,9,1327
138,Sí,4,10,1383
139,Sí,5,1,21842
140,Sí,5,2,22843
141,Sí,5,3,28186
142,Sí,5,4,24479
143,Sí,5,5,73946
144,Sí,5,6,34168
145,Sí,5,7,57509
146,Sí,5,8,32310
147,Sí,5,9,4319
148,Sí,5,10,4537
149,Sí,6,1,2219
150,Sí,6,2,13697
151,Sí,6,3,5996
152,Sí,6,4,14670
153,Sí,6,5,45138
154,Sí,6,6,18526
155,Sí,6,7,18150
156,Sí,6,8,41675
157,Sí,6,9,917
158,Sí,7,2,15018
159,Sí,7,3,12833
160,Sí,7,4,22822
161,Sí,7,5,14963
162,Sí,7,6,12379
163,Sí,7,7,41826
164,Sí,7,8,23870
165,Sí,7,9,2965
166,Sí,7,10,4518
167,Sí,8,1,1615
168,Sí,8,2,4639
169,Sí,8,3,2084
170,Sí,8,4,5939
171,Sí,8,5,32478
172,Sí,8,6,11829
173,Sí,8,7,5581
174,Sí,8,8,13305
175,Sí,8,9,3624
176,Sí,9,1,1345
177,Sí,9,2,6203
178,Sí,9,3,5701
179,Sí,9,4,1670
180,Sí,9,5,4377
181,Sí,9,6,14605
182,Sí,9,7,8100
183,Sí,9,8,4221
184,Sí,9,10,3353
185,Sí,10,1,5920
186,Sí,10,3,888
187,Sí,10,4,5581
188,Sí,10,5,12565
189,Sí,10,6,6809
190,Sí,10,7,10283
191,Sí,10,8,10640
192,Sí,10,10,27899
