,Origen_Racial,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
0,Blanca,1,1,281329
1,Blanca,1,2,164285
2,Blanca,1,3,181500
3,Blanca,1,4,128492
4,Blanca,1,5,141153
5,Blanca,1,6,31989
6,Blanca,1,7,18286
7,Blanca,1,8,14102
8,Blanca,1,9,6099
9,Blanca,1,10,14094
10,Blanca,2,1,32032
11,Blanca,2,2,77916
12,Blanca,2,3,90161
13,Blanca,2,4,214449
14,Blanca,2,5,213452
15,Blanca,2,6,84639
16,Blanca,2,7,22412
17,Blanca,2,8,23584
18,Blanca,2,9,789
19,Blanca,3,1,16044
20,Blanca,3,2,29138
21,Blanca,3,3,93116
22,Blanca,3,4,104043
23,Blanca,3,5,333602
24,Blanca,3,6,186562
25,Blanca,3,7,116054
26,Blanca,3,8,33492
27,Blanca,3,9,14384
28,Blanca,3,10,1668
29,Blanca,4,1,13993
30,Blanca,4,2,11361
31,Blanca,4,3,25696
32,Blanca,4,4,94826
33,Blanca,4,5,236661
34,Blanca,4,6,156394
35,Blanca,4,7,138248
36,Blanca,4,8,49176
37,Blanca,4,9,7915
38,Blanca,4,10,9640
39,Blanca,5,1,56217
40,Blanca,5,2,29754
41,Blanca,5,3,34007
42,Blanca,5,4,57877
43,Blanca,5,5,402814
44,Blanca,5,6,106259
45,Blanca,5,7,251520
46,Blanca,5,8,94566
47,Blanca,5,9,5778
48,Blanca,5,10,15033
49,Blanca,6,1,21651
50,Blanca,6,2,653
51,Blanca,6,3,32953
52,Blanca,6,4,82630
53,Blanca,6,5,59939
54,Blanca,6,6,198491
55,Blanca,6,7,163414
56,Blanca,6,8,163179
57,Blanca,6,9,8147
58,Blanca,6,10,14306
59,Blanca,7,1,3373
60,Blanca,7,2,4237
61,Blanca,7,3,10386
62,Blanca,7,4,43737
63,Blanca,7,5,145454
64,Blanca,7,6,68328
65,Blanca,7,7,226987
66,Blanca,7,8,126390
67,Blanca,7,9,21854
68,Blanca,7,10,3861
69,Blanca,8,1,8287
70,Blanca,8,2,11147
71,Blanca,8,3,25078
72,Blanca,8,4,46691
73,Blanca,8,5,115049
74,Blanca,8,6,90500
75,Blanca,8,7,121416
76,Blanca,8,8,212564
77,Blanca,8,9,12622
78,Blanca,8,10,17028
79,Blanca,9,1,2851
80,Blanca,9,2,8817
81,Blanca,9,3,7320
82,Blanca,9,4,16180
83,Blanca,9,5,49057
84,Blanca,9,6,41998
85,Blanca,9,7,104252
86,Blanca,9,8,114093
87,Blanca,9,9,26477
88,Blanca,10,1,12259
89,Blanca,10,2,4227
90,Blanca,10,3,19370
91,Blanca,10,4,29555
92,Blanca,10,5,45592
93,Blanca,10,6,30039
94,Blanca,10,7,43383
95,Blanca,10,8,41613
96,Blanca,10,9,23688
97,Blanca,10,10,35303
98,Indígena,1,1,942353
99,Indígena,1,2,683510
100,Indígena,1,3,529634
101,Indígena,1,4,311098
102,Indígena,1,5,351857
103,Indígena,1,6,70829
104,Indígena,1,7,44791
105,Indígena,1,8,30608
106,Indígena,1,9,1043
107,Indígena,1,10,29934
108,Indígena,2,1,102011
109,Indígena,2,2,146638
