,Generación,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
0,"(23, 35]",1,1,665142.0
1,"(23, 35]",1,2,372210.0
2,"(23, 35]",1,3,543262.0
3,"(23, 35]",1,4,252100.0
4,"(23, 35]",1,5,256865.0
5,"(23, 35]",1,6,52483.0
6,"(23, 35]",1,7,33672.0
7,"(23, 35]",1,8,19258.0
8,"(23, 35]",1,9,9586.0
9,"(23, 35]",1,10,15540.0
10,"(23, 35]",2,1,86494.0
11,"(23, 35]",2,2,249133.0
12,"(23, 35]",2,3,320688.0
13,"(23, 35]",2,4,544361.0
14,"(23, 35]",2,5,500131.0
15,"(23, 35]",2,6,148064.0
16,"(23, 35]",2,7,53067.0
17,"(23, 35]",2,8,23765.0
18,"(23, 35]",2,9,11763.0
19,"(23, 35]",2,10,
20,"(23, 35]",3,1,80841.0
21,"(23, 35]",3,2,87454.0
22,"(23, 35]",3,3,274588.0
23,"(23, 35]",3,4,415584.0
24,"(23, 35]",3,5,1214884.0
25,"(23, 35]",3,6,336086.0
26,"(23, 35]",3,7,143563.0
27,"(23, 35]",3,8,35441.0
28,"(23, 35]",3,9,8769.0
29,"(23, 35]",3,10,5008.0
30,"(23, 35]",4,1,101142.0
31,"(23, 35]",4,2,49180.0
32,"(23, 35]",4,3,80655.0
33,"(23, 35]",4,4,307238.0
34,"(23, 35]",4,5,810451.0
35,"(23, 35]",4,6,680285.0
36,"(23, 35]",4,7,394458.0
37,"(23, 35]",4,8,200274.0
38,"(23, 35]",4,9,
39,"(23, 35]",4,10,5516.0
40,"(23, 35]",5,1,110931.0
41,"(23, 35]",5,2,57238.0
42,"(23, 35]",5,3,176829.0
43,"(23, 35]",5,4,211830.0
44,"(23, 35]",5,5,1212742.0
45,"(23, 35]",5,6,600362.0
46,"(23, 35]",5,7,790549.0
47,"(23, 35]",5,8,315033.0
48,"(23, 35]",5,9,23214.0
49,"(23, 35]",5,10,13164.0
50,"(23, 35]",6,1,29685.0
51,"(23, 35]",6,2,50833.0
52,"(23, 35]",6,3,121758.0
53,"(23, 35]",6,4,248810.0
54,"(23, 35]",6,5,263279.0
55,"(23, 35]",6,6,517497.0
56,"(23, 35]",6,7,446574.0
57,"(23, 35]",6,8,455652.0
58,"(23, 35]",6,9,10641.0
59,"(23, 35]",6,10,10960.0
60,"(23, 35]",7,1,30985.0
61,"(23, 35]",7,2,16869.0
62,"(23, 35]",7,3,68304.0
63,"(23, 35]",7,4,149777.0
64,"(23, 35]",7,5,496869.0
65,"(23, 35]",7,6,320208.0
66,"(23, 35]",7,7,585467.0
67,"(23, 35]",7,8,356664.0
68,"(23, 35]",7,9,26500.0
69,"(23, 35]",7,10,10875.0
70,"(23, 35]",8,1,28702.0
71,"(23, 35]",8,2,25690.0
72,"(23, 35]",8,3,61739.0
73,"(23, 35]",8,4,96171.0
74,"(23, 35]",8,5,466391.0
75,"(23, 35]",8,6,387771.0
76,"(23, 35]",8,7,497914.0
77,"(23, 35]",8,8,507263.0
78,"(23, 35]",8,9,52193.0
79,"(23, 35]",8,10,26373.0
80,"(23, 35]",9,1,15992.0
81,"(23, 35]",9,2,6473.0
82,"(23, 35]",9,3,16891.0
83,"(23, 35]",9,4,25853.0
84,"(23, 35]",9,5,89917.0
85,"(23, 35]",9,6,92339.0
86,"(23, 35]",9,7,293187.0
87,"(23, 35]",9,8,168632.0
88,"(23, 35]",9,9,46551.0
89,"(23, 35]",9,10,1213.0
90,"(23, 35]",10,1,29592.0
91,"(23, 35]",10,2,9198.0
92,"(23, 35]",10,3,14157.0
93,"(23, 35]",10,4,35275.0
94,"(23, 35]",10,5,114850.0
95,"(23, 35]",10,6,72193.0
96,"(23, 35]",10,7,86013.0
97,"(23, 35]",10,8,129364.0
98,"(23, 35]",10,9,47326.0
99,"(23, 35]",10,10,31021.0
100,"(35, 47]",1,1,843656.0
101,"(35, 47]",1,2,796599.0
102,"(35, 47]",1,3,726954.0
103,"(35, 47]",1,4,476479.0
104,"(35, 47]",1,5,547661.0
105,"(35, 47]",1,6,147644.0
106,"(35, 47]",1,7,62903.0
107,"(35, 47]",1,8,30645.0
