,Sexo,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión
0,Hombre,1,1,1289967
1,Hombre,1,2,943751
2,Hombre,1,3,1027508
3,Hombre,1,4,549509
4,Hombre,1,5,712872
5,Hombre,1,6,196358
6,Hombre,1,7,65738
7,Hombre,1,8,27007
8,Hombre,1,9,8212
9,Hombre,1,10,39238
10,Hombre,2,1,165810
11,Hombre,2,2,453121
12,Hombre,2,3,595753
13,Hombre,2,4,1023444
14,Hombre,2,5,1053864
15,Hombre,2,6,357767
16,Hombre,2,7,156463
17,Hombre,2,8,39603
18,Hombre,2,9,1001
19,Hombre,2,10,3011
20,Hombre,3,1,117708
21,Hombre,3,2,172333
22,Hombre,3,3,456360
23,Hombre,3,4,660652
24,Hombre,3,5,1634301
25,Hombre,3,6,572286
26,Hombre,3,7,316204
27,Hombre,3,8,95704
28,Hombre,3,9,14254
29,Hombre,3,10,5685
30,Hombre,4,1,133595
31,Hombre,4,2,92067
32,Hombre,4,3,133107
33,Hombre,4,4,564741
34,Hombre,4,5,948628
35,Hombre,4,6,910633
36,Hombre,4,7,607029
37,Hombre,4,8,229090
38,Hombre,4,9,5323
39,Hombre,4,10,5642
40,Hombre,5,1,172493
41,Hombre,5,2,79594
42,Hombre,5,3,207464
43,Hombre,5,4,287486
44,Hombre,5,5,1347566
45,Hombre,5,6,670823
46,Hombre,5,7,985561
47,Hombre,5,8,425483
48,Hombre,5,9,29017
49,Hombre,5,10,12038
50,Hombre,6,1,37609
51,Hombre,6,2,46103
52,Hombre,6,3,120862
53,Hombre,6,4,310961
54,Hombre,6,5,335604
55,Hombre,6,6,655517
56,Hombre,6,7,607228
57,Hombre,6,8,485743
58,Hombre,6,9,15361
59,Hombre,6,10,23530
60,Hombre,7,1,22557
61,Hombre,7,2,36719
62,Hombre,7,3,58556
63,Hombre,7,4,200899
64,Hombre,7,5,516143
65,Hombre,7,6,387187
66,Hombre,7,7,722725
67,Hombre,7,8,371836
68,Hombre,7,9,32201
69,Hombre,7,10,14731
70,Hombre,8,1,67672
71,Hombre,8,2,70219
72,Hombre,8,3,74172
73,Hombre,8,4,158198
74,Hombre,8,5,468959
75,Hombre,8,6,446602
76,Hombre,8,7,459780
77,Hombre,8,8,542046
78,Hombre,8,9,54454
79,Hombre,8,10,32135
80,Hombre,9,1,2790
81,Hombre,9,2,11930
82,Hombre,9,3,12955
83,Hombre,9,4,32804
84,Hombre,9,5,89977
85,Hombre,9,6,98804
86,Hombre,9,7,279808
87,Hombre,9,8,176447
88,Hombre,9,9,26559
89,Hombre,9,10,2295
90,Hombre,10,1,38324
91,Hombre,10,2,10602
92,Hombre,10,3,17507
93,Hombre,10,4,45309
94,Hombre,10,5,72654
95,Hombre,10,6,86064
96,Hombre,10,7,83647
97,Hombre,10,8,108063
98,Hombre,10,9,45245
99,Hombre,10,10,56105
100,Mujer,1,1,1573492
101,Mujer,1,2,1079949
102,Mujer,1,3,1247878
103,Mujer,1,4,794843
104,Mujer,1,5,1015232
105,Mujer,1,6,218542
106,Mujer,1,7,135171
107,Mujer,1,8,104983
108,Mujer,1,9,23324
109,Mujer,1,10,30744
110,Mujer,2,1,203992
111,Mujer,2,2,312231
112,Mujer,2,3,580637
113,Mujer,2,4,953784
114,Mujer,2,5,1237977
115,Mujer,2,6,401765
116,Mujer,2,7,168744
117,Mujer,2,8,74731
118,Mujer,2,9,32766
119,Mujer,2,10,8262
120,Mujer,3,1,103384
121,Mujer,3,2,147112
122,Mujer,3,3,404153
123,Mujer,3,4,578171
124,Mujer,3,5,2181309
125,Mujer,3,6,673033
126,Mujer,3,7,401111
127,Mujer,3,8,139700
128,Mujer,3,9,16599
129,Mujer,3,10,12962
130,Mujer,4,1,51259
131,Mujer,4,2,86346
132,Mujer,4,3,122880
133,Mujer,4,4,404291
134,Mujer,4,5,1087050
135,Mujer,4,6,884030
136,Mujer,4,7,559973
137,Mujer,4,8,217359
138,Mujer,4,9,13299
139,Mujer,4,10,13142
140,Mujer,5,1,142064
141,Mujer,5,2,114431
142,Mujer,5,3,266951
143,Mujer,5,4,285221
144,Mujer,5,5,1530815
145,Mujer,5,6,575515
146,Mujer,5,7,1021716
147,Mujer,5,8,389233
148,Mujer,5,9,30414
149,Mujer,5,10,37879
150,Mujer,6,1,71311
151,Mujer,6,2,56679
152,Mujer,6,3,166425
153,Mujer,6,4,293792
154,Mujer,6,5,387354
155,Mujer,6,6,636785
156,Mujer,6,7,432798
157,Mujer,6,8,484009
158,Mujer,6,9,37528
159,Mujer,6,10,25288
160,Mujer,7,1,40472
161,Mujer,7,2,42296
162,Mujer,7,3,76387
163,Mujer,7,4,224811
164,Mujer,7,5,606404
165,Mujer,7,6,292891
166,Mujer,7,7,580795
167,Mujer,7,8,360509
168,Mujer,7,9,63749
169,Mujer,7,10,22135
170,Mujer,8,1,57637
171,Mujer,8,2,44198
172,Mujer,8,3,97025
173,Mujer,8,4,179075
174,Mujer,8,5,734433
175,Mujer,8,6,467150
176,Mujer,8,7,525207
177,Mujer,8,8,508484
178,Mujer,8,9,49332
179,Mujer,8,10,42159
180,Mujer,9,1,33034
181,Mujer,9,2,42692
182,Mujer,9,3,26835
183,Mujer,9,4,83554
184,Mujer,9,5,205158
185,Mujer,9,6,194457
186,Mujer,9,7,367088
187,Mujer,9,8,276688
188,Mujer,9,9,71032
189,Mujer,9,10,8577
190,Mujer,10,1,55029
191,Mujer,10,2,24609
192,Mujer,10,3,45875
193,Mujer,10,4,48314
194,Mujer,10,5,235887
195,Mujer,10,6,91839
196,Mujer,10,7,126398
197,Mujer,10,8,167772
198,Mujer,10,9,50960
199,Mujer,10,10,97042
