,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
0,1,1,1,25440,Color_Piel
1,1,1,2,10147,Color_Piel
2,1,1,3,4735,Color_Piel
3,1,1,4,4819,Color_Piel
4,1,1,5,2459,Color_Piel
5,1,1,6,10058,Color_Piel
6,1,2,2,820,Color_Piel
7,1,2,3,1137,Color_Piel
8,1,2,4,466,Color_Piel
9,1,2,5,1853,Color_Piel
10,1,2,7,1988,Color_Piel
11,1,3,5,2562,Color_Piel
12,1,4,1,4190,Color_Piel
13,1,4,4,207,Color_Piel
14,1,4,6,1828,Color_Piel
15,1,5,1,5150,Color_Piel
16,1,5,4,1125,Color_Piel
17,1,5,5,5861,Color_Piel
18,1,5,6,5390,Color_Piel
19,1,5,10,2243,Color_Piel
20,1,6,6,1298,Color_Piel
21,1,7,4,449,Color_Piel
22,1,8,5,2917,Color_Piel
23,1,8,6,826,Color_Piel
24,1,8,8,529,Color_Piel
25,1,9,6,3027,Color_Piel
26,1,10,1,656,Color_Piel
27,2,1,1,70248,Color_Piel
28,2,1,2,24968,Color_Piel
29,2,1,3,18109,Color_Piel
30,2,1,4,5967,Color_Piel
31,2,1,5,24507,Color_Piel
32,2,1,10,721,Color_Piel
33,2,2,1,5519,Color_Piel
34,2,2,2,14297,Color_Piel
35,2,2,4,20371,Color_Piel
36,2,2,5,7587,Color_Piel
37,2,2,7,1379,Color_Piel
38,2,3,1,1294,Color_Piel
39,2,3,2,773,Color_Piel
40,2,3,3,4515,Color_Piel
41,2,3,4,5102,Color_Piel
42,2,3,5,12516,Color_Piel
43,2,3,6,5228,Color_Piel
44,2,3,8,1166,Color_Piel
45,2,4,4,12176,Color_Piel
46,2,4,5,2495,Color_Piel
47,2,4,6,4409,Color_Piel
48,2,4,7,2075,Color_Piel
49,2,5,3,8105,Color_Piel
50,2,5,4,1263,Color_Piel
51,2,5,5,8840,Color_Piel
52,2,5,7,2192,Color_Piel
53,2,6,2,6581,Color_Piel
54,2,6,3,7691,Color_Piel
55,2,6,4,2469,Color_Piel
56,2,6,5,2704,Color_Piel
57,2,6,6,3069,Color_Piel
58,2,6,9,917,Color_Piel
59,2,7,5,2239,Color_Piel
60,2,7,6,684,Color_Piel
61,2,7,7,2347,Color_Piel
62,2,8,4,1789,Color_Piel
63,2,8,5,1572,Color_Piel
64,2,8,6,8490,Color_Piel
65,2,8,7,20611,Color_Piel
66,2,9,5,769,Color_Piel
67,2,9,7,1716,Color_Piel
68,2,9,8,2714,Color_Piel
69,2,10,1,2173,Color_Piel
70,2,10,7,3300,Color_Piel
71,3,1,1,47434,Color_Piel
72,3,1,2,41618,Color_Piel
73,3,1,3,25860,Color_Piel
74,3,1,4,25715,Color_Piel
75,3,1,5,20437,Color_Piel
76,3,1,6,3169,Color_Piel
77,3,2,1,5202,Color_Piel
78,3,2,2,11565,Color_Piel
79,3,2,3,6729,Color_Piel
80,3,2,4,37035,Color_Piel
81,3,2,5,23648,Color_Piel
82,3,2,6,3380,Color_Piel
83,3,2,8,917,Color_Piel
84,3,3,1,14246,Color_Piel
85,3,3,2,5713,Color_Piel
86,3,3,3,14288,Color_Piel
87,3,3,4,6360,Color_Piel
88,3,3,5,57079,Color_Piel
89,3,3,6,13807,Color_Piel
90,3,3,7,1947,Color_Piel
91,3,4,3,2226,Color_Piel
92,3,4,4,22365,Color_Piel
93,3,4,5,7648,Color_Piel
94,3,4,6,8859,Color_Piel
95,3,4,7,28000,Color_Piel
96,3,4,8,5981,Color_Piel
97,3,4,9,355,Color_Piel
98,3,5,1,1958,Color_Piel
99,3,5,2,4914,Color_Piel
100,3,5,3,5267,Color_Piel
101,3,5,4,1233,Color_Piel
102,3,5,5,17358,Color_Piel
103,3,5,6,6805,Color_Piel
104,3,5,7,6813,Color_Piel
105,3,5,8,3539,Color_Piel
106,3,5,9,1058,Color_Piel
107,3,6,1,11910,Color_Piel
108,3,6,2,3546,Color_Piel
109,3,6,4,1711,Color_Piel
110,3,6,5,22982,Color_Piel
111,3,6,6,7266,Color_Piel
112,3,6,7,12351,Color_Piel
113,3,6,8,5954,Color_Piel
114,3,7,1,5086,Color_Piel
115,3,7,3,4035,Color_Piel
116,3,7,4,7564,Color_Piel
117,3,7,5,11524,Color_Piel
118,3,7,6,1015,Color_Piel
119,3,7,8,2177,Color_Piel
120,3,8,1,5441,Color_Piel
121,3,8,2,3260,Color_Piel
122,3,8,5,13165,Color_Piel
123,3,8,6,4555,Color_Piel
124,3,8,7,11525,Color_Piel
125,3,8,8,8092,Color_Piel
126,3,8,9,389,Color_Piel
127,3,9,2,2533,Color_Piel
128,3,9,7,1322,Color_Piel
129,3,10,1,569,Color_Piel
130,3,10,7,3076,Color_Piel
131,3,10,9,5658,Color_Piel
132,4,1,1,153968,Color_Piel
133,4,1,2,157747,Color_Piel
134,4,1,3,91213,Color_Piel
135,4,1,4,39109,Color_Piel
136,4,1,5,54935,Color_Piel
137,4,1,6,23546,Color_Piel
138,4,1,7,2981,Color_Piel
139,4,1,8,2565,Color_Piel
140,4,2,1,16119,Color_Piel
141,4,2,2,35082,Color_Piel
142,4,2,3,70188,Color_Piel
143,4,2,4,64969,Color_Piel
144,4,2,5,69194,Color_Piel
145,4,2,6,29384,Color_Piel
146,4,2,7,7284,Color_Piel
147,4,2,8,1184,Color_Piel
148,4,3,1,13104,Color_Piel
149,4,3,2,22410,Color_Piel
150,4,3,3,30051,Color_Piel
151,4,3,4,14429,Color_Piel
152,4,3,5,103560,Color_Piel
153,4,3,6,30044,Color_Piel
154,4,3,7,22457,Color_Piel
155,4,3,8,13725,Color_Piel
156,4,3,10,1047,Color_Piel
157,4,4,1,4421,Color_Piel
158,4,4,2,1076,Color_Piel
159,4,4,3,7308,Color_Piel
160,4,4,4,19104,Color_Piel
161,4,4,5,92656,Color_Piel
162,4,4,6,45720,Color_Piel
163,4,4,7,41755,Color_Piel
164,4,4,8,18933,Color_Piel
165,4,5,1,10272,Color_Piel
166,4,5,2,3656,Color_Piel
167,4,5,3,12702,Color_Piel
168,4,5,4,13242,Color_Piel
169,4,5,5,55734,Color_Piel
170,4,5,6,15229,Color_Piel
171,4,5,7,44911,Color_Piel
172,4,5,8,8424,Color_Piel
173,4,5,9,15090,Color_Piel
174,4,6,1,3593,Color_Piel
175,4,6,2,548,Color_Piel
176,4,6,3,1978,Color_Piel
177,4,6,4,8390,Color_Piel
178,4,6,5,29084,Color_Piel
179,4,6,6,20206,Color_Piel
180,4,6,7,7837,Color_Piel
181,4,6,8,10557,Color_Piel
182,4,6,9,326,Color_Piel
183,4,7,1,352,Color_Piel
184,4,7,2,4954,Color_Piel
185,4,7,3,5366,Color_Piel
186,4,7,4,10603,Color_Piel
187,4,7,5,13045,Color_Piel
188,4,7,6,11827,Color_Piel
189,4,7,7,27634,Color_Piel
190,4,7,8,15915,Color_Piel
191,4,7,10,6170,Color_Piel
