,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
0,Alto,1,1,29329,Estrato_Socioeconómico
1,Alto,1,2,43558,Estrato_Socioeconómico
2,Alto,1,3,91262,Estrato_Socioeconómico
3,Alto,1,4,37250,Estrato_Socioeconómico
4,Alto,1,5,52831,Estrato_Socioeconómico
5,Alto,1,6,34901,Estrato_Socioeconómico
6,Alto,1,7,14196,Estrato_Socioeconómico
7,Alto,1,8,6895,Estrato_Socioeconómico
8,Alto,1,10,5703,Estrato_Socioeconómico
9,Alto,2,1,546,Estrato_Socioeconómico
10,Alto,2,2,21523,Estrato_Socioeconómico
11,Alto,2,3,41881,Estrato_Socioeconómico
12,Alto,2,4,93799,Estrato_Socioeconómico
13,Alto,2,5,145889,Estrato_Socioeconómico
14,Alto,2,6,85323,Estrato_Socioeconómico
15,Alto,2,7,19686,Estrato_Socioeconómico
16,Alto,2,8,15884,Estrato_Socioeconómico
17,Alto,2,9,789,Estrato_Socioeconómico
18,Alto,3,1,3745,Estrato_Socioeconómico
19,Alto,3,2,1524,Estrato_Socioeconómico
20,Alto,3,3,40711,Estrato_Socioeconómico
21,Alto,3,4,67139,Estrato_Socioeconómico
22,Alto,3,5,271167,Estrato_Socioeconómico
23,Alto,3,6,146149,Estrato_Socioeconómico
24,Alto,3,7,79426,Estrato_Socioeconómico
25,Alto,3,8,12041,Estrato_Socioeconómico
26,Alto,3,9,1867,Estrato_Socioeconómico
27,Alto,3,10,3340,Estrato_Socioeconómico
28,Alto,4,1,8184,Estrato_Socioeconómico
29,Alto,4,2,1698,Estrato_Socioeconómico
30,Alto,4,3,15960,Estrato_Socioeconómico
31,Alto,4,4,93577,Estrato_Socioeconómico
32,Alto,4,5,240758,Estrato_Socioeconómico
33,Alto,4,6,187374,Estrato_Socioeconómico
34,Alto,4,7,157401,Estrato_Socioeconómico
35,Alto,4,8,59806,Estrato_Socioeconómico
36,Alto,4,9,2210,Estrato_Socioeconómico
37,Alto,4,10,5893,Estrato_Socioeconómico
38,Alto,5,1,16411,Estrato_Socioeconómico
39,Alto,5,2,7940,Estrato_Socioeconómico
40,Alto,5,3,21230,Estrato_Socioeconómico
41,Alto,5,4,71898,Estrato_Socioeconómico
42,Alto,5,5,326894,Estrato_Socioeconómico
43,Alto,5,6,160163,Estrato_Socioeconómico
44,Alto,5,7,260611,Estrato_Socioeconómico
45,Alto,5,8,148862,Estrato_Socioeconómico
46,Alto,5,9,10748,Estrato_Socioeconómico
47,Alto,5,10,1906,Estrato_Socioeconómico
48,Alto,6,1,2980,Estrato_Socioeconómico
49,Alto,6,2,12182,Estrato_Socioeconómico
50,Alto,6,3,25195,Estrato_Socioeconómico
51,Alto,6,4,58249,Estrato_Socioeconómico
52,Alto,6,5,70324,Estrato_Socioeconómico
53,Alto,6,6,221030,Estrato_Socioeconómico
54,Alto,6,7,236206,Estrato_Socioeconómico
55,Alto,6,8,142395,Estrato_Socioeconómico
56,Alto,6,9,4056,Estrato_Socioeconómico
57,Alto,6,10,8579,Estrato_Socioeconómico
58,Alto,7,2,2060,Estrato_Socioeconómico
59,Alto,7,3,4725,Estrato_Socioeconómico
60,Alto,7,4,22073,Estrato_Socioeconómico
61,Alto,7,5,148375,Estrato_Socioeconómico
62,Alto,7,6,146009,Estrato_Socioeconómico
63,Alto,7,7,239204,Estrato_Socioeconómico
64,Alto,7,8,188983,Estrato_Socioeconómico
65,Alto,7,9,24881,Estrato_Socioeconómico
66,Alto,7,10,5360,Estrato_Socioeconómico
67,Alto,8,1,16415,Estrato_Socioeconómico
