,Varible,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
0,Blanca,1,1,281329,Origen_Racial
1,Blanca,1,2,164285,Origen_Racial
2,Blanca,1,3,181500,Origen_Racial
3,Blanca,1,4,128492,Origen_Racial
4,Blanca,1,5,141153,Origen_Racial
5,Blanca,1,6,31989,Origen_Racial
6,Blanca,1,7,18286,Origen_Racial
7,Blanca,1,8,14102,Origen_Racial
8,Blanca,1,9,6099,Origen_Racial
9,Blanca,1,10,14094,Origen_Racial
10,Blanca,2,1,32032,Origen_Racial
11,Blanca,2,2,77916,Origen_Racial
12,Blanca,2,3,90161,Origen_Racial
13,Blanca,2,4,214449,Origen_Racial
14,Blanca,2,5,213452,Origen_Racial
15,Blanca,2,6,84639,Origen_Racial
16,Blanca,2,7,22412,Origen_Racial
17,Blanca,2,8,23584,Origen_Racial
18,Blanca,2,9,789,Origen_Racial
19,Blanca,3,1,16044,Origen_Racial
20,Blanca,3,2,29138,Origen_Racial
21,Blanca,3,3,93116,Origen_Racial
22,Blanca,3,4,104043,Origen_Racial
23,Blanca,3,5,333602,Origen_Racial
24,Blanca,3,6,186562,Origen_Racial
25,Blanca,3,7,116054,Origen_Racial
26,Blanca,3,8,33492,Origen_Racial
27,Blanca,3,9,14384,Origen_Racial
28,Blanca,3,10,1668,Origen_Racial
29,Blanca,4,1,13993,Origen_Racial
30,Blanca,4,2,11361,Origen_Racial
31,Blanca,4,3,25696,Origen_Racial
32,Blanca,4,4,94826,Origen_Racial
33,Blanca,4,5,236661,Origen_Racial
34,Blanca,4,6,156394,Origen_Racial
35,Blanca,4,7,138248,Origen_Racial
36,Blanca,4,8,49176,Origen_Racial
37,Blanca,4,9,7915,Origen_Racial
38,Blanca,4,10,9640,Origen_Racial
39,Blanca,5,1,56217,Origen_Racial
40,Blanca,5,2,29754,Origen_Racial
41,Blanca,5,3,34007,Origen_Racial
42,Blanca,5,4,57877,Origen_Racial
43,Blanca,5,5,402814,Origen_Racial
44,Blanca,5,6,106259,Origen_Racial
45,Blanca,5,7,251520,Origen_Racial
46,Blanca,5,8,94566,Origen_Racial
47,Blanca,5,9,5778,Origen_Racial
48,Blanca,5,10,15033,Origen_Racial
49,Blanca,6,1,21651,Origen_Racial
50,Blanca,6,2,653,Origen_Racial
51,Blanca,6,3,32953,Origen_Racial
52,Blanca,6,4,82630,Origen_Racial
53,Blanca,6,5,59939,Origen_Racial
54,Blanca,6,6,198491,Origen_Racial
55,Blanca,6,7,163414,Origen_Racial
56,Blanca,6,8,163179,Origen_Racial
57,Blanca,6,9,8147,Origen_Racial
58,Blanca,6,10,14306,Origen_Racial
59,Blanca,7,1,3373,Origen_Racial
60,Blanca,7,2,4237,Origen_Racial
61,Blanca,7,3,10386,Origen_Racial
62,Blanca,7,4,43737,Origen_Racial
63,Blanca,7,5,145454,Origen_Racial
64,Blanca,7,6,68328,Origen_Racial
65,Blanca,7,7,226987,Origen_Racial
66,Blanca,7,8,126390,Origen_Racial
67,Blanca,7,9,21854,Origen_Racial
68,Blanca,7,10,3861,Origen_Racial
69,Blanca,8,1,8287,Origen_Racial
70,Blanca,8,2,11147,Origen_Racial
71,Blanca,8,3,25078,Origen_Racial
72,Blanca,8,4,46691,Origen_Racial
73,Blanca,8,5,115049,Origen_Racial
74,Blanca,8,6,90500,Origen_Racial
75,Blanca,8,7,121416,Origen_Racial
76,Blanca,8,8,212564,Origen_Racial
77,Blanca,8,9,12622,Origen_Racial
78,Blanca,8,10,17028,Origen_Racial
79,Blanca,9,1,2851,Origen_Racial
80,Blanca,9,2,8817,Origen_Racial
81,Blanca,9,3,7320,Origen_Racial
82,Blanca,9,4,16180,Origen_Racial
83,Blanca,9,5,49057,Origen_Racial
84,Blanca,9,6,41998,Origen_Racial
85,Blanca,9,7,104252,Origen_Racial
86,Blanca,9,8,114093,Origen_Racial
87,Blanca,9,9,26477,Origen_Racial
88,Blanca,10,1,12259,Origen_Racial
89,Blanca,10,2,4227,Origen_Racial
90,Blanca,10,3,19370,Origen_Racial
91,Blanca,10,4,29555,Origen_Racial
92,Blanca,10,5,45592,Origen_Racial
93,Blanca,10,6,30039,Origen_Racial
94,Blanca,10,7,43383,Origen_Racial
95,Blanca,10,8,41613,Origen_Racial
96,Blanca,10,9,23688,Origen_Racial
97,Blanca,10,10,35303,Origen_Racial
98,Indígena,1,1,942353,Origen_Racial
99,Indígena,1,2,683510,Origen_Racial
100,Indígena,1,3,529634,Origen_Racial
101,Indígena,1,4,311098,Origen_Racial
102,Indígena,1,5,351857,Origen_Racial
103,Indígena,1,6,70829,Origen_Racial
104,Indígena,1,7,44791,Origen_Racial
105,Indígena,1,8,30608,Origen_Racial
106,Indígena,1,9,1043,Origen_Racial
107,Indígena,1,10,29934,Origen_Racial
108,Indígena,2,1,102011,Origen_Racial
109,Indígena,2,2,146638,Origen_Racial
110,Indígena,2,3,234270,Origen_Racial
111,Indígena,2,4,361943,Origen_Racial
112,Indígena,2,5,395697,Origen_Racial
113,Indígena,2,6,112889,Origen_Racial
114,Indígena,2,7,54540,Origen_Racial
115,Indígena,2,8,9018,Origen_Racial
116,Indígena,2,9,7522,Origen_Racial
117,Indígena,2,10,2540,Origen_Racial
