,Generación,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
0,Millenials,1,1,665142.0,Generación
1,Millenials,1,2,372210.0,Generación
2,Millenials,1,3,543262.0,Generación
3,Millenials,1,4,252100.0,Generación
4,Millenials,1,5,256865.0,Generación
5,Millenials,1,6,52483.0,Generación
6,Millenials,1,7,33672.0,Generación
7,Millenials,1,8,19258.0,Generación
8,Millenials,1,9,9586.0,Generación
9,Millenials,1,10,15540.0,Generación
10,Millenials,2,1,86494.0,Generación
11,Millenials,2,2,249133.0,Generación
12,Millenials,2,3,320688.0,Generación
13,Millenials,2,4,544361.0,Generación
14,Millenials,2,5,500131.0,Generación
15,Millenials,2,6,148064.0,Generación
16,Millenials,2,7,53067.0,Generación
17,Millenials,2,8,23765.0,Generación
18,Millenials,2,9,11763.0,Generación
19,Millenials,2,10,,Generación
20,Millenials,3,1,80841.0,Generación
21,Millenials,3,2,87454.0,Generación
22,Millenials,3,3,274588.0,Generación
23,Millenials,3,4,415584.0,Generación
24,Millenials,3,5,1214884.0,Generación
25,Millenials,3,6,336086.0,Generación
26,Millenials,3,7,143563.0,Generación
27,Millenials,3,8,35441.0,Generación
28,Millenials,3,9,8769.0,Generación
29,Millenials,3,10,5008.0,Generación
30,Millenials,4,1,101142.0,Generación
31,Millenials,4,2,49180.0,Generación
32,Millenials,4,3,80655.0,Generación
33,Millenials,4,4,307238.0,Generación
34,Millenials,4,5,810451.0,Generación
35,Millenials,4,6,680285.0,Generación
36,Millenials,4,7,394458.0,Generación
37,Millenials,4,8,200274.0,Generación
38,Millenials,4,9,,Generación
39,Millenials,4,10,5516.0,Generación
40,Millenials,5,1,110931.0,Generación
41,Millenials,5,2,57238.0,Generación
42,Millenials,5,3,176829.0,Generación
43,Millenials,5,4,211830.0,Generación
44,Millenials,5,5,1212742.0,Generación
45,Millenials,5,6,600362.0,Generación
46,Millenials,5,7,790549.0,Generación
47,Millenials,5,8,315033.0,Generación
48,Millenials,5,9,23214.0,Generación
49,Millenials,5,10,13164.0,Generación
50,Millenials,6,1,29685.0,Generación
51,Millenials,6,2,50833.0,Generación
52,Millenials,6,3,121758.0,Generación
53,Millenials,6,4,248810.0,Generación
54,Millenials,6,5,263279.0,Generación
55,Millenials,6,6,517497.0,Generación
56,Millenials,6,7,446574.0,Generación
57,Millenials,6,8,455652.0,Generación
58,Millenials,6,9,10641.0,Generación
59,Millenials,6,10,10960.0,Generación
60,Millenials,7,1,30985.0,Generación
61,Millenials,7,2,16869.0,Generación
62,Millenials,7,3,68304.0,Generación
63,Millenials,7,4,149777.0,Generación
64,Millenials,7,5,496869.0,Generación
65,Millenials,7,6,320208.0,Generación
66,Millenials,7,7,585467.0,Generación
67,Millenials,7,8,356664.0,Generación
68,Millenials,7,9,26500.0,Generación
69,Millenials,7,10,10875.0,Generación
70,Millenials,8,1,28702.0,Generación
71,Millenials,8,2,25690.0,Generación
72,Millenials,8,3,61739.0,Generación
73,Millenials,8,4,96171.0,Generación
74,Millenials,8,5,466391.0,Generación
75,Millenials,8,6,387771.0,Generación
76,Millenials,8,7,497914.0,Generación
77,Millenials,8,8,507263.0,Generación
78,Millenials,8,9,52193.0,Generación
79,Millenials,8,10,26373.0,Generación
80,Millenials,9,1,15992.0,Generación
81,Millenials,9,2,6473.0,Generación
82,Millenials,9,3,16891.0,Generación
83,Millenials,9,4,25853.0,Generación
84,Millenials,9,5,89917.0,Generación
85,Millenials,9,6,92339.0,Generación
86,Millenials,9,7,293187.0,Generación
87,Millenials,9,8,168632.0,Generación
88,Millenials,9,9,46551.0,Generación
89,Millenials,9,10,1213.0,Generación
90,Millenials,10,1,29592.0,Generación
91,Millenials,10,2,9198.0,Generación
92,Millenials,10,3,14157.0,Generación
93,Millenials,10,4,35275.0,Generación
94,Millenials,10,5,114850.0,Generación
95,Millenials,10,6,72193.0,Generación
96,Millenials,10,7,86013.0,Generación
97,Millenials,10,8,129364.0,Generación
98,Millenials,10,9,47326.0,Generación
99,Millenials,10,10,31021.0,Generación
100,X,1,1,843656.0,Generación
101,X,1,2,796599.0,Generación
