,Varible,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
0,Hombre,1,1,1289967,Sexo
1,Hombre,1,2,943751,Sexo
2,Hombre,1,3,1027508,Sexo
3,Hombre,1,4,549509,Sexo
4,Hombre,1,5,712872,Sexo
5,Hombre,1,6,196358,Sexo
6,Hombre,1,7,65738,Sexo
7,Hombre,1,8,27007,Sexo
8,Hombre,1,9,8212,Sexo
9,Hombre,1,10,39238,Sexo
10,Hombre,2,1,165810,Sexo
11,Hombre,2,2,453121,Sexo
12,Hombre,2,3,595753,Sexo
13,Hombre,2,4,1023444,Sexo
14,Hombre,2,5,1053864,Sexo
15,Hombre,2,6,357767,Sexo
16,Hombre,2,7,156463,Sexo
17,Hombre,2,8,39603,Sexo
18,Hombre,2,9,1001,Sexo
19,Hombre,2,10,3011,Sexo
20,Hombre,3,1,117708,Sexo
21,Hombre,3,2,172333,Sexo
22,Hombre,3,3,456360,Sexo
23,Hombre,3,4,660652,Sexo
24,Hombre,3,5,1634301,Sexo
25,Hombre,3,6,572286,Sexo
26,Hombre,3,7,316204,Sexo
27,Hombre,3,8,95704,Sexo
28,Hombre,3,9,14254,Sexo
29,Hombre,3,10,5685,Sexo
30,Hombre,4,1,133595,Sexo
31,Hombre,4,2,92067,Sexo
32,Hombre,4,3,133107,Sexo
33,Hombre,4,4,564741,Sexo
34,Hombre,4,5,948628,Sexo
35,Hombre,4,6,910633,Sexo
36,Hombre,4,7,607029,Sexo
37,Hombre,4,8,229090,Sexo
38,Hombre,4,9,5323,Sexo
39,Hombre,4,10,5642,Sexo
40,Hombre,5,1,172493,Sexo
41,Hombre,5,2,79594,Sexo
42,Hombre,5,3,207464,Sexo
43,Hombre,5,4,287486,Sexo
44,Hombre,5,5,1347566,Sexo
45,Hombre,5,6,670823,Sexo
46,Hombre,5,7,985561,Sexo
47,Hombre,5,8,425483,Sexo
48,Hombre,5,9,29017,Sexo
49,Hombre,5,10,12038,Sexo
50,Hombre,6,1,37609,Sexo
51,Hombre,6,2,46103,Sexo
52,Hombre,6,3,120862,Sexo
53,Hombre,6,4,310961,Sexo
54,Hombre,6,5,335604,Sexo
55,Hombre,6,6,655517,Sexo
56,Hombre,6,7,607228,Sexo
57,Hombre,6,8,485743,Sexo
58,Hombre,6,9,15361,Sexo
59,Hombre,6,10,23530,Sexo
60,Hombre,7,1,22557,Sexo
61,Hombre,7,2,36719,Sexo
62,Hombre,7,3,58556,Sexo
63,Hombre,7,4,200899,Sexo
64,Hombre,7,5,516143,Sexo
65,Hombre,7,6,387187,Sexo
66,Hombre,7,7,722725,Sexo
67,Hombre,7,8,371836,Sexo
68,Hombre,7,9,32201,Sexo
69,Hombre,7,10,14731,Sexo
70,Hombre,8,1,67672,Sexo
71,Hombre,8,2,70219,Sexo
72,Hombre,8,3,74172,Sexo
73,Hombre,8,4,158198,Sexo
74,Hombre,8,5,468959,Sexo
75,Hombre,8,6,446602,Sexo
76,Hombre,8,7,459780,Sexo
77,Hombre,8,8,542046,Sexo
78,Hombre,8,9,54454,Sexo
79,Hombre,8,10,32135,Sexo
80,Hombre,9,1,2790,Sexo
81,Hombre,9,2,11930,Sexo
82,Hombre,9,3,12955,Sexo
83,Hombre,9,4,32804,Sexo
84,Hombre,9,5,89977,Sexo
85,Hombre,9,6,98804,Sexo
86,Hombre,9,7,279808,Sexo
87,Hombre,9,8,176447,Sexo
88,Hombre,9,9,26559,Sexo
89,Hombre,9,10,2295,Sexo
90,Hombre,10,1,38324,Sexo
91,Hombre,10,2,10602,Sexo
92,Hombre,10,3,17507,Sexo
93,Hombre,10,4,45309,Sexo
94,Hombre,10,5,72654,Sexo
95,Hombre,10,6,86064,Sexo
96,Hombre,10,7,83647,Sexo
97,Hombre,10,8,108063,Sexo
98,Hombre,10,9,45245,Sexo
99,Hombre,10,10,56105,Sexo
100,Mujer,1,1,1573492,Sexo
101,Mujer,1,2,1079949,Sexo
102,Mujer,1,3,1247878,Sexo
103,Mujer,1,4,794843,Sexo
104,Mujer,1,5,1015232,Sexo
105,Mujer,1,6,218542,Sexo
106,Mujer,1,7,135171,Sexo
107,Mujer,1,8,104983,Sexo
108,Mujer,1,9,23324,Sexo
109,Mujer,1,10,30744,Sexo
110,Mujer,2,1,203992,Sexo
111,Mujer,2,2,312231,Sexo
112,Mujer,2,3,580637,Sexo
113,Mujer,2,4,953784,Sexo
114,Mujer,2,5,1237977,Sexo
115,Mujer,2,6,401765,Sexo
116,Mujer,2,7,168744,Sexo
117,Mujer,2,8,74731,Sexo
118,Mujer,2,9,32766,Sexo
119,Mujer,2,10,8262,Sexo
120,Mujer,3,1,103384,Sexo
121,Mujer,3,2,147112,Sexo
122,Mujer,3,3,404153,Sexo
123,Mujer,3,4,578171,Sexo
124,Mujer,3,5,2181309,Sexo
125,Mujer,3,6,673033,Sexo
126,Mujer,3,7,401111,Sexo
127,Mujer,3,8,139700,Sexo
128,Mujer,3,9,16599,Sexo
129,Mujer,3,10,12962,Sexo
130,Mujer,4,1,51259,Sexo
131,Mujer,4,2,86346,Sexo
132,Mujer,4,3,122880,Sexo
133,Mujer,4,4,404291,Sexo
134,Mujer,4,5,1087050,Sexo
135,Mujer,4,6,884030,Sexo
136,Mujer,4,7,559973,Sexo
137,Mujer,4,8,217359,Sexo
138,Mujer,4,9,13299,Sexo
139,Mujer,4,10,13142,Sexo
140,Mujer,5,1,142064,Sexo
141,Mujer,5,2,114431,Sexo
142,Mujer,5,3,266951,Sexo
143,Mujer,5,4,285221,Sexo
144,Mujer,5,5,1530815,Sexo
145,Mujer,5,6,575515,Sexo
146,Mujer,5,7,1021716,Sexo
147,Mujer,5,8,389233,Sexo
148,Mujer,5,9,30414,Sexo
149,Mujer,5,10,37879,Sexo
150,Mujer,6,1,71311,Sexo
151,Mujer,6,2,56679,Sexo
152,Mujer,6,3,166425,Sexo
153,Mujer,6,4,293792,Sexo
154,Mujer,6,5,387354,Sexo
155,Mujer,6,6,636785,Sexo
156,Mujer,6,7,432798,Sexo
157,Mujer,6,8,484009,Sexo
158,Mujer,6,9,37528,Sexo
159,Mujer,6,10,25288,Sexo
160,Mujer,7,1,40472,Sexo
161,Mujer,7,2,42296,Sexo
162,Mujer,7,3,76387,Sexo
163,Mujer,7,4,224811,Sexo
164,Mujer,7,5,606404,Sexo
165,Mujer,7,6,292891,Sexo
166,Mujer,7,7,580795,Sexo
167,Mujer,7,8,360509,Sexo
168,Mujer,7,9,63749,Sexo
169,Mujer,7,10,22135,Sexo
170,Mujer,8,1,57637,Sexo
171,Mujer,8,2,44198,Sexo
172,Mujer,8,3,97025,Sexo
173,Mujer,8,4,179075,Sexo
174,Mujer,8,5,734433,Sexo
175,Mujer,8,6,467150,Sexo
176,Mujer,8,7,525207,Sexo
177,Mujer,8,8,508484,Sexo
178,Mujer,8,9,49332,Sexo
179,Mujer,8,10,42159,Sexo
180,Mujer,9,1,33034,Sexo
181,Mujer,9,2,42692,Sexo
182,Mujer,9,3,26835,Sexo
183,Mujer,9,4,83554,Sexo
184,Mujer,9,5,205158,Sexo
185,Mujer,9,6,194457,Sexo
186,Mujer,9,7,367088,Sexo
187,Mujer,9,8,276688,Sexo
188,Mujer,9,9,71032,Sexo
189,Mujer,9,10,8577,Sexo
190,Mujer,10,1,55029,Sexo
191,Mujer,10,2,24609,Sexo
192,Mujer,10,3,45875,Sexo
193,Mujer,10,4,48314,Sexo
194,Mujer,10,5,235887,Sexo
195,Mujer,10,6,91839,Sexo
196,Mujer,10,7,126398,Sexo
197,Mujer,10,8,167772,Sexo
198,Mujer,10,9,50960,Sexo
199,Mujer,10,10,97042,Sexo
